"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"GOOG231117C00050000","REGULAR","USD",2023-11-17,50,83.1,0,0,0,0,2,0,2023-07-27 11:19:37,1e-05,TRUE
"GOOG231117C00055000","REGULAR","USD",2023-11-17,55,71.24,0,0,73.65,77.35,3,6,2023-07-13 11:50:55,0.813478427734375,TRUE
"GOOG231117C00060000","REGULAR","USD",2023-11-17,60,66.37,0,0,68.75,72.45,3,54,2023-07-13 11:50:55,0.780763911132813,TRUE
"GOOG231117C00065000","REGULAR","USD",2023-11-17,65,58.2,0,0,0,0,3,0,2023-07-20 10:50:12,1e-05,TRUE
"GOOG231117C00070000","REGULAR","USD",2023-11-17,70,62.79,0,0,0,0,2,0,2023-08-08 14:09:22,1e-05,TRUE
"GOOG231117C00075000","REGULAR","USD",2023-11-17,75,57.63,0,0,0,0,2,0,2023-08-08 14:11:21,1e-05,TRUE
"GOOG231117C00080000","REGULAR","USD",2023-11-17,80,51.54,0,0,0,0,20,0,2023-07-27 15:29:37,1e-05,TRUE
"GOOG231117C00085000","REGULAR","USD",2023-11-17,85,42.54,0,0,44.4,48.05,2,974,2023-07-14 14:14:21,0.572514040527344,TRUE
"GOOG231117C00090000","REGULAR","USD",2023-11-17,90,42.62,0,0,0,0,1,0,2023-08-10 12:20:15,1e-05,TRUE
"GOOG231117C00095000","REGULAR","USD",2023-11-17,95,38.7,0,0,0,0,18,0,2023-08-14 15:57:36,1e-05,TRUE
"GOOG231117C00100000","REGULAR","USD",2023-11-17,100,33.4,0,0,0,0,3,0,2023-08-15 15:20:36,1e-05,TRUE
"GOOG231117C00105000","REGULAR","USD",2023-11-17,105,28.9,0,0,0,0,15,0,2023-08-14 12:45:03,1e-05,TRUE
"GOOG231117C00110000","REGULAR","USD",2023-11-17,110,24.38,0,0,0,0,2,0,2023-08-15 09:30:00,1e-05,TRUE
"GOOG231117C00115000","REGULAR","USD",2023-11-17,115,20.25,0,0,0,0,10,0,2023-08-14 12:59:21,1e-05,TRUE
"GOOG231117C00120000","REGULAR","USD",2023-11-17,120,15.3,0,0,0,0,14,0,2023-08-15 15:22:52,1e-05,TRUE
"GOOG231117C00125000","REGULAR","USD",2023-11-17,125,11.9,0,0,0,0,14,0,2023-08-15 15:26:10,1e-05,TRUE
"GOOG231117C00130000","REGULAR","USD",2023-11-17,130,8.7,0,0,0,0,42,0,2023-08-15 15:30:37,1e-05,TRUE
"GOOG231117C00135000","REGULAR","USD",2023-11-17,135,6.25,0,0,0,0,119,0,2023-08-15 15:32:58,0.01563484375,FALSE
"GOOG231117C00140000","REGULAR","USD",2023-11-17,140,4.41,0,0,0,0,97,0,2023-08-15 15:54:34,0.0312596875,FALSE
"GOOG231117C00145000","REGULAR","USD",2023-11-17,145,3.2,0,0,0,0,95,0,2023-08-15 13:27:41,0.062509375,FALSE
"GOOG231117C00150000","REGULAR","USD",2023-11-17,150,2,0,0,0,0,88,0,2023-08-15 14:43:35,0.062509375,FALSE
"GOOG231117C00155000","REGULAR","USD",2023-11-17,155,1.21,0,0,0,0,30,0,2023-08-15 15:37:00,0.062509375,FALSE
"GOOG231117C00160000","REGULAR","USD",2023-11-17,160,0.81,0,0,0,0,65,0,2023-08-15 15:37:00,0.062509375,FALSE
"GOOG231117C00165000","REGULAR","USD",2023-11-17,165,0.58,0,0,0,0,2,0,2023-08-14 13:43:23,0.12500875,FALSE
"GOOG231117C00170000","REGULAR","USD",2023-11-17,170,0.42,0,0,0,0,1,0,2023-08-15 13:30:08,0.12500875,FALSE
"GOOG231117C00175000","REGULAR","USD",2023-11-17,175,0.31,0,0,0,0,11,0,2023-08-11 14:03:04,0.12500875,FALSE
"GOOG231117C00180000","REGULAR","USD",2023-11-17,180,0.22,0,0,0,0,6,0,2023-08-14 14:06:17,0.12500875,FALSE
"GOOG231117C00185000","REGULAR","USD",2023-11-17,185,0.21,0,0,0,0,7,0,2023-08-11 10:33:08,0.12500875,FALSE
"GOOG231117C00190000","REGULAR","USD",2023-11-17,190,0.18,0,0,0,0,1,0,2023-08-11 09:46:09,0.12500875,FALSE
"GOOG231117C00200000","REGULAR","USD",2023-11-17,200,0.14,0,0,0,0,10,0,2023-08-09 13:54:21,0.12500875,FALSE
